country,percent,DiscountID
Spain,34,258
Brazil,38,259
Brazil,14,260
Germany,50,261
United States,29,262
China,39,263
China,40,264
China,2,265
China,36,266
France,9,267
Brazil,4,268
Brazil,44,269
China,25,270
China,49,271
China,32,272
Brazil,42,273
China,20,274
Brazil,31,275
China,45,276
China,12,277
China,7,278
China,27,279
Israel,25,280
Canada,2,281
China,31,282
China,24,283
Brazil,42,284
China,3,285
France,26,286
United States,15,287
China,3,288
Brazil,25,289
Japan,15,290
China,14,291
France,10,292
China,44,293
China,34,294
Brazil,22,295
China,8,296
China,21,297
Brazil,41,298
China,14,299
China,37,300
China,12,301
China,14,302
France,30,303
China,21,304
China,19,305
Germany,47,306
China,44,307
China,7,308
Japan,20,309
United States,31,310
China,18,311
China,27,312
Brazil,17,313
China,3,314
China,33,315
Brazil,46,316
Brazil,6,317
China,40,318
China,25,319
Australia,12,320
Spain,1,321
France,2,322
China,28,323
China,29,324
China,12,325
China,5,326
Japan,26,327
France,18,328
Brazil,45,329
Japan,27,330
China,32,331
France,15,332
Canada,7,333
Canada,13,334
United States,20,335
Brazil,11,336
Brazil,24,337
France,22,338
United States,11,339
Brazil,26,340
China,50,341
China,47,342
China,21,343
Germany,46,344
United States,49,345
China,46,346
France,50,347
China,32,348
China,5,349
China,9,350
China,14,351
France,43,352
China,16,353
China,27,354
China,26,355
China,8,356
China,8,357
China,38,358
Japan,18,359
China,16,360
China,45,361
China,25,362
China,19,363
China,37,364
France,49,365
France,15,366
China,19,367
France,50,368
China,40,369
China,45,370
China,40,371
China,49,372
China,22,373
China,43,374
France,47,375
China,33,376
United States,18,377
Spain,9,378
Italy,15,379
China,36,380
France,48,381
Canada,5,382
United States,4,383
France,32,384
China,9,385
Brazil,45,386
Canada,15,387
Italy,50,388
France,39,389
China,13,390
China,45,391
China,40,392
China,16,393
China,27,394
Brazil,44,395
China,27,396
Brazil,31,397
China,6,398
China,49,399
China,35,400
Japan,29,401
China,26,402
France,30,403
France,31,404
China,33,405
China,26,406
Germany,8,407
China,11,408
France,30,409
Spain,6,410
Japan,35,411
China,30,412
China,49,413
China,13,414
France,43,415
China,9,416
China,49,417
China,10,418
China,9,419
China,22,420
Japan,24,421
China,5,422
Australia,45,423
China,34,424
Japan,15,425
China,29,426
China,49,427
Canada,44,428
China,12,429
China,12,430
China,1,431
China,1,432
Brazil,45,433
France,11,434
United States,31,435
United States,40,436
China,43,437
United States,6,438
France,39,439
China,12,440
China,18,441
United States,14,442
Brazil,31,443
China,34,444
China,18,445
China,45,446
United States,46,447
China,4,448
United States,48,449
France,36,450
France,40,451
Brazil,45,452
China,30,453
China,15,454
Brazil,47,455
Spain,3,456
France,47,457
China,20,458
China,8,459
China,26,460
Brazil,8,461
Brazil,13,462
China,13,463
China,24,464
China,50,465
United States,44,466
Canada,14,467
China,21,468
France,43,469
China,38,470
China,47,471
United States,27,472
Canada,23,473
France,25,474
United States,9,475
United States,48,476
Brazil,45,477
China,39,478
United States,45,479
France,38,480
China,47,481
France,9,482
China,26,483
China,11,484
Japan,48,485
China,14,486
Brazil,30,487
China,35,488
United States,1,489
China,10,490
China,15,491
China,26,492
United States,14,493
China,21,494
China,33,495
China,49,496
Brazil,10,497
United States,34,498
China,19,499
China,48,500
China,25,501
China,49,502
United States,40,503
Japan,50,504
China,36,505
China,38,506
Canada,9,507
China,11,508
China,29,509
United States,22,510
China,6,511
Japan,49,512
China,1,513
United States,18,514
China,6,515
China,30,516
China,26,517
United States,13,518
Brazil,4,519
China,4,520
China,27,521
France,42,522
China,1,523
China,10,524
Japan,27,525
France,42,526
Canada,30,527
Japan,41,528
China,38,529
Japan,14,530
China,28,531
China,17,532
France,44,533
China,45,534
China,41,535
United States,5,536
Brazil,21,537
Brazil,24,538
China,31,539
United States,42,540
Brazil,5,541
China,49,542
Japan,41,543
China,22,544
France,26,545
China,7,546
Japan,14,547
China,39,548
Japan,46,549
China,13,550
China,8,551
Spain,39,552
China,5,553
Brazil,25,554
Brazil,6,555
China,15,556
Japan,25,557
China,4,558
China,25,559
China,2,560
China,24,561
China,6,562
France,33,563
China,5,564
China,10,565
Brazil,27,566
United States,23,567
France,2,568
China,26,569
Canada,17,570
China,22,571
China,46,572
China,22,573
France,8,574
China,42,575
China,12,576
China,38,577
China,29,578
China,10,579
China,3,580
China,34,581
Germany,24,582
Japan,25,583
United States,13,584
France,15,585
United States,17,586
China,8,587
Brazil,8,588
United States,17,589
China,13,590
China,30,591
China,9,592
China,27,593
Brazil,40,594
France,44,595
China,9,596
China,8,597
France,32,598
Canada,41,599
France,45,600
Canada,20,601
China,27,602
China,14,603
China,29,604
China,14,605
China,15,606
China,12,607
Brazil,27,608
France,46,609
China,9,610
China,11,611
China,24,612
France,2,613
China,1,614
Brazil,40,615
Brazil,45,616
Japan,27,617
China,12,618
China,41,619
China,27,620
China,14,621
China,3,622
China,45,623
United States,4,624
China,4,625
France,35,626
China,49,627
Japan,31,628
United States,5,629
Germany,23,630
China,35,631
China,26,632
China,38,633
Brazil,13,634
China,18,635
Brazil,49,636
China,50,637
United States,38,638
China,47,639
China,5,640
Brazil,49,641
Brazil,9,642
Japan,31,643
China,42,644
China,5,645
China,5,646
China,40,647
China,2,648
China,34,649
France,8,650
Brazil,12,651
France,26,652
Brazil,42,653
China,7,654
Brazil,29,655
China,30,656
France,36,657
France,39,658
China,42,659
China,22,660
China,30,661
France,16,662
China,8,663
China,10,664
China,24,665
China,36,666
China,20,667
China,17,668
Brazil,31,669
China,13,670
China,12,671
China,12,672
China,14,673
Japan,33,674
China,2,675
China,19,676
China,4,677
China,1,678
China,21,679
China,12,680
China,48,681
China,15,682
China,19,683
China,25,684
China,42,685
Spain,44,686
China,37,687
China,16,688
China,22,689
China,47,690
China,27,691
Brazil,45,692
China,36,693
China,41,694
Brazil,10,695
China,17,696
China,36,697
China,25,698
France,22,699
Brazil,36,700
China,17,701
United States,11,702
Brazil,24,703
France,11,704
China,7,705
China,21,706
China,2,707
China,6,708
France,16,709
China,12,710
China,27,711
Canada,47,712
Canada,22,713
China,36,714
China,11,715
China,25,716
China,42,717
China,13,718
Brazil,40,719
China,21,720
China,18,721
France,35,722
China,23,723
China,36,724
Brazil,14,725
China,35,726
Brazil,7,727
China,44,728
China,20,729
China,25,730
China,30,731
China,14,732
China,21,733
China,27,734
United States,7,735
China,1,736
France,44,737
China,49,738
Brazil,46,739
China,17,740
China,5,741
China,37,742
France,22,743
China,11,744
China,34,745
France,31,746
China,50,747
China,14,748
France,25,749
France,31,750
China,17,751
Brazil,46,752
France,11,753
France,2,754
China,26,755
China,35,756
China,7,757
China,25,758
China,32,759
China,30,760
Brazil,32,761
Japan,38,762
China,41,763
China,8,764
China,21,765
Canada,11,766
China,17,767
China,29,768
China,22,769
China,1,770
China,46,771
China,43,772
Japan,5,773
Brazil,20,774
China,28,775
France,2,776
China,28,777
Japan,44,778
China,16,779
China,12,780
Israel,2,781
China,20,782
Canada,44,783
China,36,784
Italy,4,785
China,23,786
Brazil,5,787
China,2,788
Brazil,4,789
Brazil,26,790
China,4,791
China,5,792
China,35,793
China,17,794
China,34,795
China,18,796
Brazil,10,797
China,6,798
United States,16,799
China,47,800
China,7,801
Japan,1,802
China,46,803
Spain,44,804
Brazil,27,805
China,35,806
Brazil,32,807
Germany,8,808
China,19,809
China,30,810
China,6,811
China,43,812
France,17,813
Japan,23,814
United States,33,815
China,14,816
Japan,29,817
China,17,818
China,42,819
France,1,820
China,17,821
China,33,822
China,22,823
China,14,824
Spain,23,825
Brazil,18,826
China,14,827
France,32,828
China,15,829
China,31,830
Spain,46,831
France,41,832
France,45,833
France,4,834
Canada,50,835
China,11,836
China,19,837
China,44,838
China,42,839
China,32,840
United States,20,841
Canada,15,842
China,4,843
China,3,844
France,27,845
China,27,846
France,31,847
China,34,848
China,27,849
Brazil,39,850
China,8,851
France,10,852
China,42,853
China,40,854
China,21,855
China,46,856
China,40,857
China,33,858
Brazil,33,859
Brazil,46,860
China,14,861
China,2,862
China,19,863
Brazil,48,864
China,20,865
China,47,866
China,19,867
China,34,868
Brazil,36,869
China,6,870
Japan,23,871
China,47,872
China,22,873
Spain,5,874
Brazil,45,875
China,7,876
Japan,50,877
France,20,878
China,19,879
France,20,880
Japan,40,881
Australia,50,882
China,12,883
China,25,884
Brazil,29,885
Brazil,32,886
Canada,7,887
France,6,888
China,4,889
United States,7,890
France,47,891
China,26,892
China,7,893
China,10,894
Brazil,16,895
China,5,896
United States,48,897
China,3,898
China,39,899
France,9,900
China,11,901
Brazil,16,902
China,6,903
China,38,904
China,9,905
China,48,906
China,31,907
France,25,908
United States,48,909
China,45,910
China,34,911
China,42,912
Brazil,12,913
China,33,914
China,10,915
France,48,916
China,34,917
France,45,918
China,14,919
China,33,920
United States,30,921
Japan,32,922
Brazil,29,923
Japan,21,924
China,41,925
China,22,926
Brazil,25,927
United States,23,928
China,1,929
China,45,930
France,39,931
China,24,932
China,22,933
Germany,2,934
China,25,935
Canada,44,936
United States,14,937
United States,6,938
China,7,939
China,31,940
China,7,941
Brazil,46,942
China,42,943
China,30,944
China,24,945
China,29,946
Japan,50,947
United States,4,948
China,36,949
United States,38,950
China,41,951
France,29,952
China,42,953
Brazil,32,954
China,28,955
China,12,956
China,15,957
China,40,958
China,39,959
China,10,960
United States,14,961
Italy,46,962
China,6,963
China,48,964
China,7,965
China,48,966
China,39,967
China,50,968
China,47,969
China,24,970
United States,9,971
China,45,972
Brazil,20,973
France,16,974
China,37,975
Brazil,19,976
China,37,977
China,2,978
United States,19,979
China,1,980
China,5,981
China,39,982
China,37,983
France,36,984
China,23,985
China,9,986
China,9,987
China,47,988
Canada,19,989
Germany,34,990
France,28,991
Brazil,43,992
China,36,993
China,14,994
Canada,19,995
China,43,996
Japan,2,997
Brazil,39,998
United States,35,999
China,36,1000
