CouponID,CouponCode,DiscountPercent,StartDate,EndDate,ProviderID
40,DISC40,15,2025-01-01,2025-12-31,531
41,DISC41,27,2025-01-01,2025-12-31,234
42,DISC42,29,2025-01-01,2025-12-31,838
43,DISC43,45,2025-01-01,2025-12-31,676
44,DISC44,36,2025-01-01,2025-12-31,840
45,DISC45,24,2025-01-01,2025-12-31,620
46,DISC46,15,2025-01-01,2025-12-31,573
47,DISC47,45,2025-01-01,2025-12-31,823
48,DISC48,9,2025-01-01,2025-12-31,542
49,DISC49,35,2025-01-01,2025-12-31,988
50,DISC50,9,2025-01-01,2025-12-31,830
51,DISC51,9,2025-01-01,2025-12-31,835
52,DISC52,49,2025-01-01,2025-12-31,207
53,DISC53,50,2025-01-01,2025-12-31,421
54,DISC54,19,2025-01-01,2025-12-31,360
55,DISC55,23,2025-01-01,2025-12-31,196
56,DISC56,12,2025-01-01,2025-12-31,239
57,DISC57,20,2025-01-01,2025-12-31,973
58,DISC58,12,2025-01-01,2025-12-31,95
59,DISC59,49,2025-01-01,2025-12-31,145
60,DISC60,48,2025-01-01,2025-12-31,954
61,DISC61,36,2025-01-01,2025-12-31,764
62,DISC62,8,2025-01-01,2025-12-31,448
63,DISC63,23,2025-01-01,2025-12-31,328
64,DISC64,24,2025-01-01,2025-12-31,492
65,DISC65,38,2025-01-01,2025-12-31,809
66,DISC66,18,2025-01-01,2025-12-31,919
67,DISC67,41,2025-01-01,2025-12-31,764
68,DISC68,46,2025-01-01,2025-12-31,581
69,DISC69,6,2025-01-01,2025-12-31,286
70,DISC70,42,2025-01-01,2025-12-31,486
71,DISC71,43,2025-01-01,2025-12-31,731
72,DISC72,10,2025-01-01,2025-12-31,19
73,DISC73,20,2025-01-01,2025-12-31,41
74,DISC74,18,2025-01-01,2025-12-31,232
75,DISC75,35,2025-01-01,2025-12-31,602
76,DISC76,43,2025-01-01,2025-12-31,119
77,DISC77,30,2025-01-01,2025-12-31,73
78,DISC78,37,2025-01-01,2025-12-31,343
79,DISC79,50,2025-01-01,2025-12-31,2
80,DISC80,15,2025-01-01,2025-12-31,631
81,DISC81,34,2025-01-01,2025-12-31,409
82,DISC82,33,2025-01-01,2025-12-31,54
83,DISC83,32,2025-01-01,2025-12-31,264
84,DISC84,23,2025-01-01,2025-12-31,868
85,DISC85,5,2025-01-01,2025-12-31,612
86,DISC86,18,2025-01-01,2025-12-31,778
87,DISC87,6,2025-01-01,2025-12-31,719
88,DISC88,25,2025-01-01,2025-12-31,493
89,DISC89,33,2025-01-01,2025-12-31,436
90,DISC90,50,2025-01-01,2025-12-31,665
91,DISC91,10,2025-01-01,2025-12-31,298
92,DISC92,5,2025-01-01,2025-12-31,393
93,DISC93,42,2025-01-01,2025-12-31,759
94,DISC94,14,2025-01-01,2025-12-31,402
95,DISC95,6,2025-01-01,2025-12-31,45
96,DISC96,27,2025-01-01,2025-12-31,292
97,DISC97,14,2025-01-01,2025-12-31,572
98,DISC98,31,2025-01-01,2025-12-31,221
99,DISC99,27,2025-01-01,2025-12-31,501
100,DISC100,22,2025-01-01,2025-12-31,40
101,DISC101,40,2025-01-01,2025-12-31,516
102,DISC102,47,2025-01-01,2025-12-31,346
103,DISC103,11,2025-01-01,2025-12-31,454
104,DISC104,24,2025-01-01,2025-12-31,272
105,DISC105,24,2025-01-01,2025-12-31,298
106,DISC106,9,2025-01-01,2025-12-31,250
107,DISC107,38,2025-01-01,2025-12-31,953
108,DISC108,39,2025-01-01,2025-12-31,859
109,DISC109,13,2025-01-01,2025-12-31,324
110,DISC110,39,2025-01-01,2025-12-31,665
111,DISC111,16,2025-01-01,2025-12-31,737
112,DISC112,20,2025-01-01,2025-12-31,795
113,DISC113,47,2025-01-01,2025-12-31,360
114,DISC114,26,2025-01-01,2025-12-31,149
115,DISC115,30,2025-01-01,2025-12-31,234
116,DISC116,34,2025-01-01,2025-12-31,211
117,DISC117,20,2025-01-01,2025-12-31,549
118,DISC118,8,2025-01-01,2025-12-31,869
119,DISC119,29,2025-01-01,2025-12-31,783
120,DISC120,11,2025-01-01,2025-12-31,508
121,DISC121,35,2025-01-01,2025-12-31,633
122,DISC122,43,2025-01-01,2025-12-31,525
123,DISC123,41,2025-01-01,2025-12-31,46
124,DISC124,23,2025-01-01,2025-12-31,872
125,DISC125,18,2025-01-01,2025-12-31,548
126,DISC126,49,2025-01-01,2025-12-31,89
127,DISC127,8,2025-01-01,2025-12-31,11
128,DISC128,30,2025-01-01,2025-12-31,221
129,DISC129,11,2025-01-01,2025-12-31,3
130,DISC130,25,2025-01-01,2025-12-31,966
131,DISC131,43,2025-01-01,2025-12-31,648
132,DISC132,27,2025-01-01,2025-12-31,29
133,DISC133,34,2025-01-01,2025-12-31,801
134,DISC134,30,2025-01-01,2025-12-31,128
135,DISC135,21,2025-01-01,2025-12-31,5
136,DISC136,47,2025-01-01,2025-12-31,270
137,DISC137,37,2025-01-01,2025-12-31,440
138,DISC138,37,2025-01-01,2025-12-31,479
139,DISC139,12,2025-01-01,2025-12-31,883
140,DISC140,47,2025-01-01,2025-12-31,445
141,DISC141,43,2025-01-01,2025-12-31,61
142,DISC142,35,2025-01-01,2025-12-31,963
143,DISC143,20,2025-01-01,2025-12-31,878
144,DISC144,19,2025-01-01,2025-12-31,570
145,DISC145,14,2025-01-01,2025-12-31,820
146,DISC146,11,2025-01-01,2025-12-31,59
147,DISC147,43,2025-01-01,2025-12-31,187
148,DISC148,8,2025-01-01,2025-12-31,48
149,DISC149,44,2025-01-01,2025-12-31,111
150,DISC150,12,2025-01-01,2025-12-31,286
151,DISC151,43,2025-01-01,2025-12-31,739
152,DISC152,38,2025-01-01,2025-12-31,617
153,DISC153,13,2025-01-01,2025-12-31,120
154,DISC154,48,2025-01-01,2025-12-31,392
155,DISC155,40,2025-01-01,2025-12-31,358
156,DISC156,6,2025-01-01,2025-12-31,588
157,DISC157,37,2025-01-01,2025-12-31,861
158,DISC158,43,2025-01-01,2025-12-31,287
159,DISC159,34,2025-01-01,2025-12-31,638
160,DISC160,17,2025-01-01,2025-12-31,629
161,DISC161,38,2025-01-01,2025-12-31,858
162,DISC162,46,2025-01-01,2025-12-31,226
163,DISC163,47,2025-01-01,2025-12-31,395
164,DISC164,21,2025-01-01,2025-12-31,926
165,DISC165,30,2025-01-01,2025-12-31,617
166,DISC166,5,2025-01-01,2025-12-31,644
167,DISC167,31,2025-01-01,2025-12-31,650
168,DISC168,12,2025-01-01,2025-12-31,15
169,DISC169,44,2025-01-01,2025-12-31,438
170,DISC170,7,2025-01-01,2025-12-31,227
171,DISC171,19,2025-01-01,2025-12-31,533
172,DISC172,14,2025-01-01,2025-12-31,942
173,DISC173,14,2025-01-01,2025-12-31,700
174,DISC174,18,2025-01-01,2025-12-31,566
175,DISC175,45,2025-01-01,2025-12-31,725
176,DISC176,15,2025-01-01,2025-12-31,188
177,DISC177,20,2025-01-01,2025-12-31,383
178,DISC178,18,2025-01-01,2025-12-31,470
179,DISC179,25,2025-01-01,2025-12-31,334
180,DISC180,48,2025-01-01,2025-12-31,509
181,DISC181,13,2025-01-01,2025-12-31,477
182,DISC182,49,2025-01-01,2025-12-31,39
183,DISC183,26,2025-01-01,2025-12-31,627
184,DISC184,13,2025-01-01,2025-12-31,773
185,DISC185,45,2025-01-01,2025-12-31,325
186,DISC186,6,2025-01-01,2025-12-31,667
187,DISC187,9,2025-01-01,2025-12-31,973
188,DISC188,39,2025-01-01,2025-12-31,874
189,DISC189,45,2025-01-01,2025-12-31,859
190,DISC190,39,2025-01-01,2025-12-31,455
191,DISC191,14,2025-01-01,2025-12-31,48
192,DISC192,31,2025-01-01,2025-12-31,632
193,DISC193,30,2025-01-01,2025-12-31,369
194,DISC194,33,2025-01-01,2025-12-31,509
195,DISC195,30,2025-01-01,2025-12-31,499
196,DISC196,34,2025-01-01,2025-12-31,560
197,DISC197,37,2025-01-01,2025-12-31,483
198,DISC198,12,2025-01-01,2025-12-31,195
199,DISC199,5,2025-01-01,2025-12-31,525
200,DISC200,45,2025-01-01,2025-12-31,261
201,DISC201,37,2025-01-01,2025-12-31,216
202,DISC202,43,2025-01-01,2025-12-31,509
203,DISC203,13,2025-01-01,2025-12-31,2
204,DISC204,7,2025-01-01,2025-12-31,402
205,DISC205,50,2025-01-01,2025-12-31,436
206,DISC206,18,2025-01-01,2025-12-31,134
207,DISC207,44,2025-01-01,2025-12-31,343
208,DISC208,32,2025-01-01,2025-12-31,521
209,DISC209,41,2025-01-01,2025-12-31,554
210,DISC210,29,2025-01-01,2025-12-31,363
211,DISC211,33,2025-01-01,2025-12-31,318
212,DISC212,37,2025-01-01,2025-12-31,965
213,DISC213,42,2025-01-01,2025-12-31,780
214,DISC214,20,2025-01-01,2025-12-31,411
215,DISC215,34,2025-01-01,2025-12-31,876
216,DISC216,45,2025-01-01,2025-12-31,19
217,DISC217,32,2025-01-01,2025-12-31,768
218,DISC218,9,2025-01-01,2025-12-31,581
219,DISC219,49,2025-01-01,2025-12-31,870
220,DISC220,36,2025-01-01,2025-12-31,940
221,DISC221,27,2025-01-01,2025-12-31,9
222,DISC222,5,2025-01-01,2025-12-31,223
223,DISC223,38,2025-01-01,2025-12-31,79
224,DISC224,24,2025-01-01,2025-12-31,664
225,DISC225,8,2025-01-01,2025-12-31,264
226,DISC226,18,2025-01-01,2025-12-31,897
227,DISC227,40,2025-01-01,2025-12-31,554
228,DISC228,5,2025-01-01,2025-12-31,91
229,DISC229,27,2025-01-01,2025-12-31,871
230,DISC230,18,2025-01-01,2025-12-31,72
231,DISC231,27,2025-01-01,2025-12-31,988
232,DISC232,5,2025-01-01,2025-12-31,11
233,DISC233,28,2025-01-01,2025-12-31,711
234,DISC234,39,2025-01-01,2025-12-31,216
235,DISC235,28,2025-01-01,2025-12-31,687
236,DISC236,17,2025-01-01,2025-12-31,310
237,DISC237,49,2025-01-01,2025-12-31,555
238,DISC238,25,2025-01-01,2025-12-31,669
239,DISC239,40,2025-01-01,2025-12-31,301
240,DISC240,16,2025-01-01,2025-12-31,339
241,DISC241,26,2025-01-01,2025-12-31,408
242,DISC242,9,2025-01-01,2025-12-31,283
243,DISC243,9,2025-01-01,2025-12-31,753
244,DISC244,33,2025-01-01,2025-12-31,970
245,DISC245,38,2025-01-01,2025-12-31,309
246,DISC246,18,2025-01-01,2025-12-31,905
247,DISC247,33,2025-01-01,2025-12-31,400
248,DISC248,6,2025-01-01,2025-12-31,101
249,DISC249,38,2025-01-01,2025-12-31,763
250,DISC250,17,2025-01-01,2025-12-31,192
251,DISC251,27,2025-01-01,2025-12-31,490
252,DISC252,48,2025-01-01,2025-12-31,585
253,DISC253,37,2025-01-01,2025-12-31,993
254,DISC254,12,2025-01-01,2025-12-31,989
255,DISC255,49,2025-01-01,2025-12-31,394
256,DISC256,43,2025-01-01,2025-12-31,364
257,DISC257,49,2025-01-01,2025-12-31,684
258,DISC258,19,2025-01-01,2025-12-31,661
259,DISC259,28,2025-01-01,2025-12-31,154
260,DISC260,21,2025-01-01,2025-12-31,691
261,DISC261,31,2025-01-01,2025-12-31,779
262,DISC262,42,2025-01-01,2025-12-31,195
263,DISC263,48,2025-01-01,2025-12-31,438
264,DISC264,8,2025-01-01,2025-12-31,267
265,DISC265,50,2025-01-01,2025-12-31,189
266,DISC266,25,2025-01-01,2025-12-31,587
267,DISC267,42,2025-01-01,2025-12-31,22
268,DISC268,21,2025-01-01,2025-12-31,759
269,DISC269,48,2025-01-01,2025-12-31,692
270,DISC270,50,2025-01-01,2025-12-31,8
271,DISC271,9,2025-01-01,2025-12-31,630
272,DISC272,20,2025-01-01,2025-12-31,944
273,DISC273,41,2025-01-01,2025-12-31,815
274,DISC274,25,2025-01-01,2025-12-31,745
275,DISC275,40,2025-01-01,2025-12-31,589
276,DISC276,37,2025-01-01,2025-12-31,82
277,DISC277,50,2025-01-01,2025-12-31,764
278,DISC278,37,2025-01-01,2025-12-31,746
279,DISC279,23,2025-01-01,2025-12-31,242
280,DISC280,50,2025-01-01,2025-12-31,191
281,DISC281,22,2025-01-01,2025-12-31,836
282,DISC282,24,2025-01-01,2025-12-31,912
283,DISC283,28,2025-01-01,2025-12-31,509
284,DISC284,50,2025-01-01,2025-12-31,319
285,DISC285,19,2025-01-01,2025-12-31,320
286,DISC286,46,2025-01-01,2025-12-31,188
287,DISC287,25,2025-01-01,2025-12-31,606
288,DISC288,27,2025-01-01,2025-12-31,646
289,DISC289,9,2025-01-01,2025-12-31,162
290,DISC290,14,2025-01-01,2025-12-31,571
291,DISC291,30,2025-01-01,2025-12-31,777
292,DISC292,42,2025-01-01,2025-12-31,342
293,DISC293,14,2025-01-01,2025-12-31,599
294,DISC294,50,2025-01-01,2025-12-31,228
295,DISC295,45,2025-01-01,2025-12-31,514
296,DISC296,15,2025-01-01,2025-12-31,106
297,DISC297,8,2025-01-01,2025-12-31,446
298,DISC298,14,2025-01-01,2025-12-31,552
299,DISC299,29,2025-01-01,2025-12-31,566
300,DISC300,27,2025-01-01,2025-12-31,139
301,DISC301,11,2025-01-01,2025-12-31,700
302,DISC302,7,2025-01-01,2025-12-31,41
303,DISC303,50,2025-01-01,2025-12-31,469
304,DISC304,19,2025-01-01,2025-12-31,345
305,DISC305,43,2025-01-01,2025-12-31,34
306,DISC306,9,2025-01-01,2025-12-31,208
307,DISC307,16,2025-01-01,2025-12-31,751
308,DISC308,45,2025-01-01,2025-12-31,361
309,DISC309,34,2025-01-01,2025-12-31,24
310,DISC310,46,2025-01-01,2025-12-31,783
311,DISC311,24,2025-01-01,2025-12-31,294
312,DISC312,10,2025-01-01,2025-12-31,815
313,DISC313,21,2025-01-01,2025-12-31,522
314,DISC314,14,2025-01-01,2025-12-31,153
315,DISC315,22,2025-01-01,2025-12-31,774
316,DISC316,18,2025-01-01,2025-12-31,815
317,DISC317,6,2025-01-01,2025-12-31,188
318,DISC318,26,2025-01-01,2025-12-31,630
319,DISC319,25,2025-01-01,2025-12-31,517
320,DISC320,38,2025-01-01,2025-12-31,572
321,DISC321,28,2025-01-01,2025-12-31,902
322,DISC322,25,2025-01-01,2025-12-31,923
323,DISC323,33,2025-01-01,2025-12-31,214
324,DISC324,43,2025-01-01,2025-12-31,867
325,DISC325,19,2025-01-01,2025-12-31,621
326,DISC326,36,2025-01-01,2025-12-31,274
327,DISC327,15,2025-01-01,2025-12-31,656
328,DISC328,30,2025-01-01,2025-12-31,8
329,DISC329,39,2025-01-01,2025-12-31,368
330,DISC330,27,2025-01-01,2025-12-31,46
331,DISC331,13,2025-01-01,2025-12-31,680
332,DISC332,30,2025-01-01,2025-12-31,162
333,DISC333,28,2025-01-01,2025-12-31,812
334,DISC334,42,2025-01-01,2025-12-31,627
335,DISC335,12,2025-01-01,2025-12-31,273
336,DISC336,48,2025-01-01,2025-12-31,985
337,DISC337,20,2025-01-01,2025-12-31,863
338,DISC338,25,2025-01-01,2025-12-31,223
339,DISC339,41,2025-01-01,2025-12-31,839
340,DISC340,28,2025-01-01,2025-12-31,970
341,DISC341,43,2025-01-01,2025-12-31,823
342,DISC342,25,2025-01-01,2025-12-31,418
343,DISC343,43,2025-01-01,2025-12-31,861
344,DISC344,12,2025-01-01,2025-12-31,477
345,DISC345,15,2025-01-01,2025-12-31,971
346,DISC346,5,2025-01-01,2025-12-31,483
347,DISC347,8,2025-01-01,2025-12-31,254
348,DISC348,32,2025-01-01,2025-12-31,720
349,DISC349,36,2025-01-01,2025-12-31,634
350,DISC350,40,2025-01-01,2025-12-31,842
351,DISC351,37,2025-01-01,2025-12-31,615
352,DISC352,18,2025-01-01,2025-12-31,486
353,DISC353,17,2025-01-01,2025-12-31,399
354,DISC354,19,2025-01-01,2025-12-31,921
355,DISC355,8,2025-01-01,2025-12-31,99
356,DISC356,27,2025-01-01,2025-12-31,916
357,DISC357,46,2025-01-01,2025-12-31,188
358,DISC358,35,2025-01-01,2025-12-31,940
359,DISC359,35,2025-01-01,2025-12-31,206
360,DISC360,34,2025-01-01,2025-12-31,290
361,DISC361,50,2025-01-01,2025-12-31,556
362,DISC362,10,2025-01-01,2025-12-31,126
363,DISC363,39,2025-01-01,2025-12-31,309
364,DISC364,22,2025-01-01,2025-12-31,560
365,DISC365,36,2025-01-01,2025-12-31,547
366,DISC366,42,2025-01-01,2025-12-31,873
367,DISC367,6,2025-01-01,2025-12-31,366
368,DISC368,14,2025-01-01,2025-12-31,589
369,DISC369,11,2025-01-01,2025-12-31,556
370,DISC370,23,2025-01-01,2025-12-31,297
371,DISC371,8,2025-01-01,2025-12-31,583
372,DISC372,6,2025-01-01,2025-12-31,63
373,DISC373,15,2025-01-01,2025-12-31,351
374,DISC374,25,2025-01-01,2025-12-31,952
375,DISC375,38,2025-01-01,2025-12-31,468
376,DISC376,37,2025-01-01,2025-12-31,157
377,DISC377,25,2025-01-01,2025-12-31,888
378,DISC378,34,2025-01-01,2025-12-31,204
379,DISC379,12,2025-01-01,2025-12-31,217
380,DISC380,6,2025-01-01,2025-12-31,184
381,DISC381,15,2025-01-01,2025-12-31,886
382,DISC382,6,2025-01-01,2025-12-31,980
383,DISC383,19,2025-01-01,2025-12-31,464
384,DISC384,20,2025-01-01,2025-12-31,954
385,DISC385,45,2025-01-01,2025-12-31,355
386,DISC386,24,2025-01-01,2025-12-31,44
387,DISC387,28,2025-01-01,2025-12-31,656
388,DISC388,19,2025-01-01,2025-12-31,206
389,DISC389,48,2025-01-01,2025-12-31,698
390,DISC390,21,2025-01-01,2025-12-31,797
391,DISC391,5,2025-01-01,2025-12-31,822
392,DISC392,11,2025-01-01,2025-12-31,428
393,DISC393,22,2025-01-01,2025-12-31,996
394,DISC394,48,2025-01-01,2025-12-31,472
395,DISC395,39,2025-01-01,2025-12-31,752
396,DISC396,28,2025-01-01,2025-12-31,681
397,DISC397,8,2025-01-01,2025-12-31,840
398,DISC398,50,2025-01-01,2025-12-31,427
399,DISC399,7,2025-01-01,2025-12-31,640
400,DISC400,19,2025-01-01,2025-12-31,203
401,DISC401,36,2025-01-01,2025-12-31,71
402,DISC402,44,2025-01-01,2025-12-31,550
403,DISC403,29,2025-01-01,2025-12-31,362
404,DISC404,37,2025-01-01,2025-12-31,943
405,DISC405,25,2025-01-01,2025-12-31,73
406,DISC406,6,2025-01-01,2025-12-31,134
407,DISC407,50,2025-01-01,2025-12-31,905
408,DISC408,49,2025-01-01,2025-12-31,976
409,DISC409,9,2025-01-01,2025-12-31,833
410,DISC410,23,2025-01-01,2025-12-31,411
411,DISC411,25,2025-01-01,2025-12-31,267
412,DISC412,39,2025-01-01,2025-12-31,915
413,DISC413,11,2025-01-01,2025-12-31,578
414,DISC414,47,2025-01-01,2025-12-31,211
415,DISC415,16,2025-01-01,2025-12-31,990
416,DISC416,15,2025-01-01,2025-12-31,895
417,DISC417,6,2025-01-01,2025-12-31,810
418,DISC418,30,2025-01-01,2025-12-31,957
419,DISC419,9,2025-01-01,2025-12-31,362
420,DISC420,15,2025-01-01,2025-12-31,701
421,DISC421,25,2025-01-01,2025-12-31,881
422,DISC422,6,2025-01-01,2025-12-31,82
423,DISC423,43,2025-01-01,2025-12-31,831
424,DISC424,10,2025-01-01,2025-12-31,449
425,DISC425,35,2025-01-01,2025-12-31,617
426,DISC426,37,2025-01-01,2025-12-31,730
427,DISC427,33,2025-01-01,2025-12-31,578
428,DISC428,25,2025-01-01,2025-12-31,22
429,DISC429,24,2025-01-01,2025-12-31,478
430,DISC430,45,2025-01-01,2025-12-31,718
431,DISC431,7,2025-01-01,2025-12-31,12
432,DISC432,30,2025-01-01,2025-12-31,188
433,DISC433,13,2025-01-01,2025-12-31,331
434,DISC434,7,2025-01-01,2025-12-31,78
435,DISC435,33,2025-01-01,2025-12-31,834
436,DISC436,36,2025-01-01,2025-12-31,342
437,DISC437,44,2025-01-01,2025-12-31,80
438,DISC438,34,2025-01-01,2025-12-31,703
439,DISC439,23,2025-01-01,2025-12-31,823
440,DISC440,39,2025-01-01,2025-12-31,661
441,DISC441,42,2025-01-01,2025-12-31,39
442,DISC442,43,2025-01-01,2025-12-31,951
443,DISC443,16,2025-01-01,2025-12-31,204
444,DISC444,41,2025-01-01,2025-12-31,805
445,DISC445,19,2025-01-01,2025-12-31,419
446,DISC446,6,2025-01-01,2025-12-31,718
447,DISC447,24,2025-01-01,2025-12-31,657
448,DISC448,22,2025-01-01,2025-12-31,497
449,DISC449,6,2025-01-01,2025-12-31,476
450,DISC450,45,2025-01-01,2025-12-31,20
451,DISC451,31,2025-01-01,2025-12-31,444
452,DISC452,8,2025-01-01,2025-12-31,745
453,DISC453,27,2025-01-01,2025-12-31,505
454,DISC454,44,2025-01-01,2025-12-31,390
455,DISC455,25,2025-01-01,2025-12-31,132
456,DISC456,35,2025-01-01,2025-12-31,211
457,DISC457,41,2025-01-01,2025-12-31,867
458,DISC458,40,2025-01-01,2025-12-31,253
459,DISC459,9,2025-01-01,2025-12-31,749
460,DISC460,11,2025-01-01,2025-12-31,164
461,DISC461,25,2025-01-01,2025-12-31,607
462,DISC462,37,2025-01-01,2025-12-31,884
463,DISC463,15,2025-01-01,2025-12-31,143
464,DISC464,10,2025-01-01,2025-12-31,528
465,DISC465,50,2025-01-01,2025-12-31,613
466,DISC466,39,2025-01-01,2025-12-31,460
467,DISC467,5,2025-01-01,2025-12-31,113
468,DISC468,32,2025-01-01,2025-12-31,976
469,DISC469,14,2025-01-01,2025-12-31,700
470,DISC470,23,2025-01-01,2025-12-31,701
471,DISC471,21,2025-01-01,2025-12-31,276
472,DISC472,27,2025-01-01,2025-12-31,73
473,DISC473,30,2025-01-01,2025-12-31,623
474,DISC474,31,2025-01-01,2025-12-31,85
475,DISC475,18,2025-01-01,2025-12-31,501
476,DISC476,5,2025-01-01,2025-12-31,250
477,DISC477,21,2025-01-01,2025-12-31,31
478,DISC478,39,2025-01-01,2025-12-31,686
479,DISC479,23,2025-01-01,2025-12-31,621
480,DISC480,35,2025-01-01,2025-12-31,534
481,DISC481,25,2025-01-01,2025-12-31,231
482,DISC482,12,2025-01-01,2025-12-31,326
483,DISC483,50,2025-01-01,2025-12-31,46
484,DISC484,13,2025-01-01,2025-12-31,999
485,DISC485,45,2025-01-01,2025-12-31,467
486,DISC486,45,2025-01-01,2025-12-31,299
487,DISC487,20,2025-01-01,2025-12-31,577
488,DISC488,20,2025-01-01,2025-12-31,961
489,DISC489,43,2025-01-01,2025-12-31,732
490,DISC490,12,2025-01-01,2025-12-31,878
491,DISC491,41,2025-01-01,2025-12-31,104
492,DISC492,48,2025-01-01,2025-12-31,759
493,DISC493,29,2025-01-01,2025-12-31,361
494,DISC494,22,2025-01-01,2025-12-31,323
495,DISC495,42,2025-01-01,2025-12-31,288
496,DISC496,39,2025-01-01,2025-12-31,25
497,DISC497,31,2025-01-01,2025-12-31,138
498,DISC498,8,2025-01-01,2025-12-31,592
499,DISC499,47,2025-01-01,2025-12-31,324
500,DISC500,13,2025-01-01,2025-12-31,756
