TableNumber,Seats,TableID,ProviderID,ReservationID
20,5,763,300,1016
9,10,764,403,19815
8,10,765,728,8671
3,5,766,487,540
15,10,767,482,943
8,5,768,841,1692
3,6,769,68,3675
17,4,770,933,12700
2,8,771,710,1419
13,10,772,172,2650
16,9,773,920,13749
9,8,774,512,664
11,9,775,817,9779
6,2,776,353,1082
2,10,777,39,304
2,3,778,542,4983
14,2,779,706,13088
6,2,780,977,3864
4,2,781,811,12561
18,10,782,492,153
20,2,783,597,1775
10,4,784,252,4905
14,8,785,229,9198
12,8,786,317,11104
2,6,787,793,1092
16,6,788,824,4828
12,4,789,129,503
6,3,790,982,7462
20,7,791,803,4268
1,9,792,841,13548
9,5,793,352,18608
7,4,794,375,13767
4,10,795,801,6626
16,2,796,128,11232
15,9,797,314,10187
3,8,798,938,13884
5,3,799,294,10670
19,10,800,314,16948
9,9,801,662,2598
14,5,802,432,3207
16,7,803,385,18127
6,8,804,548,2098
9,3,805,964,11994
11,2,806,941,2819
10,7,807,896,14918
1,2,808,289,536
4,9,809,195,7448
15,7,810,600,2970
4,4,811,540,13790
3,5,812,123,17093
17,5,813,626,11113
11,9,814,37,2964
14,2,815,100,13997
3,7,816,843,18786
10,4,817,356,8180
11,4,818,893,11835
8,9,819,15,9851
5,2,820,853,12718
12,7,821,668,9186
9,2,822,563,395
19,7,823,574,19871
5,10,824,144,3779
11,6,825,878,18978
14,5,826,12,16537
8,9,827,490,4481
11,3,828,555,16412
8,5,829,575,19332
11,5,830,310,19216
3,2,831,183,12734
8,10,832,756,13683
10,5,833,377,9654
9,9,834,13,14662
11,7,835,298,11843
7,10,836,560,5581
5,5,837,663,8897
1,3,838,457,1095
17,7,839,925,15902
10,5,840,539,4726
14,9,841,542,4912
18,4,842,452,11559
19,10,843,953,14823
13,10,844,900,1442
15,10,845,781,2246
2,7,846,125,7571
4,6,847,448,19085
6,5,848,209,16404
13,5,849,272,11733
17,9,850,174,7346
13,5,851,670,12291
5,10,852,340,16471
10,10,853,76,3466
9,7,854,499,11831
17,9,855,229,17424
14,10,856,539,975
12,2,857,710,15023
10,7,858,99,4040
11,4,859,301,15158
3,10,860,759,14404
3,2,861,670,1265
1,5,862,2,1714
8,7,863,676,4380
16,7,864,995,3211
15,4,865,543,12867
8,4,866,287,10023
18,9,867,900,16536
8,8,868,936,1226
2,4,869,623,16556
10,7,870,661,11758
18,4,871,826,16518
3,6,872,771,13231
4,9,873,895,5489
16,2,874,86,18207
19,3,875,215,16847
18,9,876,800,4102
4,9,877,691,4296
18,5,878,413,68
14,8,879,433,17658
17,6,880,800,8233
18,9,881,600,9431
20,5,882,90,14808
7,5,883,952,4386
5,2,884,418,5759
9,10,885,32,15192
6,9,886,292,7108
11,10,887,695,11907
13,5,888,877,4177
17,9,889,762,8704
8,6,890,141,1712
11,2,891,167,9378
2,2,892,362,1346
18,5,893,728,9344
12,2,894,201,14806
8,7,895,13,19927
6,8,896,933,18622
6,7,897,715,5308
14,3,898,484,12174
3,7,899,869,8371
3,10,900,950,17829
5,4,901,956,16623
15,2,902,57,4679
3,5,903,440,2882
7,4,904,214,5079
7,10,905,732,14557
9,6,906,337,3109
6,4,907,479,13779
1,9,908,833,17506
14,8,909,8,14648
13,6,910,296,4161
1,9,911,39,16179
16,3,912,237,12145
19,4,913,738,7691
8,3,914,180,17930
20,10,915,324,3832
3,10,916,758,14086
1,7,917,276,4176
7,3,918,899,3313
6,8,919,935,4595
12,9,920,278,16807
20,6,921,405,13163
16,6,922,396,10665
11,2,923,372,14792
11,3,924,583,8742
8,6,925,131,11018
9,10,926,145,10450
1,10,927,374,2062
3,7,928,314,18715
9,9,929,708,12248
1,6,930,434,12155
7,6,931,864,5602
11,6,932,670,5005
5,10,933,576,761
8,4,934,432,94
6,9,935,663,9483
18,2,936,834,10574
15,8,937,709,18172
15,5,938,951,6786
12,4,939,37,3271
17,10,940,620,14885
13,3,941,88,1698
20,9,942,857,14186
7,2,943,168,16981
14,8,944,893,11266
8,7,945,720,18212
3,10,946,852,18974
18,7,947,839,15229
20,3,948,674,14520
6,3,949,272,17056
13,10,950,549,5393
8,10,951,725,11709
12,3,952,686,11299
4,2,953,796,19141
8,6,954,414,13862
15,5,955,51,16589
18,2,956,267,17792
1,10,957,95,5656
16,4,958,869,16145
9,8,959,15,1345
3,3,960,92,11982
14,8,961,242,3948
3,2,962,752,16702
9,10,963,380,11175
15,5,964,882,19751
8,10,965,104,4863
9,2,966,107,9374
16,8,967,396,19091
13,6,968,562,8662
14,3,969,849,10871
20,3,970,28,3737
10,7,971,173,18810
15,3,972,467,6648
1,6,973,193,3227
3,5,974,517,14591
11,2,975,930,18484
7,3,976,652,91
14,3,977,494,7396
11,7,978,681,16036
4,9,979,489,14474
6,3,980,440,12523
10,2,981,915,2587
13,4,982,329,18474
11,5,983,983,8370
12,6,984,466,15504
5,10,985,925,1017
17,5,986,507,5075
11,7,987,836,14060
4,8,988,739,17531
20,10,989,206,16260
11,2,990,109,10023
18,3,991,772,1508
6,9,992,29,7830
13,6,993,733,13282
12,9,994,408,2216
2,7,995,144,16340
6,5,996,700,16350
12,6,997,937,6434
11,6,998,484,15801
18,2,999,122,10460
6,8,1000,838,360
