DiscountID,country,percent
502,Japan,44
503,China,24
504,China,46
505,China,32
506,China,17
507,China,50
508,China,43
509,France,22
510,China,12
511,China,40
512,China,35
513,France,24
514,Canada,5
515,China,27
516,Japan,27
517,China,29
518,China,28
519,United States,49
520,China,37
521,China,42
522,Canada,17
523,Brazil,46
524,China,6
525,China,15
526,Brazil,48
527,France,31
528,Brazil,16
529,Brazil,26
530,China,47
531,France,14
532,United States,42
533,China,47
534,China,34
535,China,3
536,China,27
537,China,42
538,China,13
539,China,21
540,China,12
541,China,19
542,Brazil,24
543,China,13
544,Canada,8
545,China,30
546,China,48
547,China,33
548,China,20
549,China,38
550,China,38
551,Brazil,41
552,Japan,32
553,Japan,27
554,China,18
555,Canada,5
556,China,30
557,China,46
558,France,7
559,France,10
560,China,20
561,United States,1
562,China,16
563,China,5
564,Brazil,2
565,China,46
566,China,49
567,United States,42
568,China,49
569,China,22
570,France,2
571,China,46
572,Canada,15
573,China,23
574,Japan,25
575,China,16
576,France,29
577,China,21
578,China,22
579,China,32
580,Japan,48
581,China,31
582,Brazil,47
583,China,37
584,China,36
585,China,19
586,Brazil,16
587,Brazil,7
588,China,35
589,China,9
590,China,18
591,France,11
592,China,42
593,China,15
594,China,31
595,China,39
596,China,39
597,Germany,34
598,China,32
599,United States,16
600,China,40
601,United States,21
602,Brazil,37
603,Brazil,11
604,United States,33
605,China,32
606,China,4
607,Brazil,28
608,United States,35
609,China,24
610,China,26
611,China,4
612,China,28
613,China,25
614,France,40
615,China,29
616,China,20
617,France,33
618,China,43
619,China,5
620,United States,44
621,China,33
622,France,6
623,Brazil,46
624,France,4
625,China,2
626,Brazil,32
627,China,13
628,China,20
629,China,18
630,France,28
631,France,1
632,China,48
633,United States,13
634,China,11
635,France,8
636,Brazil,29
637,Brazil,40
638,China,1
639,China,37
640,China,2
641,Japan,38
642,China,42
643,China,26
644,China,39
645,China,18
646,China,19
647,France,50
648,Japan,40
649,China,48
650,China,21
651,Japan,14
652,China,32
653,China,2
654,China,14
655,China,30
656,Spain,13
657,China,36
658,United States,7
659,Japan,26
660,China,31
661,Brazil,3
662,China,29
663,China,43
664,China,25
665,Canada,25
666,China,37
667,Brazil,2
668,China,3
669,China,8
670,Brazil,29
671,Japan,15
672,China,24
673,United States,29
674,United States,15
675,China,37
676,United States,16
677,France,25
678,Germany,4
679,France,37
680,China,12
681,China,14
682,China,27
683,China,14
684,China,4
685,China,32
686,China,5
687,China,47
688,Spain,34
689,Canada,2
690,France,47
691,China,19
692,China,21
693,China,38
694,China,38
695,United States,27
696,China,38
697,China,36
698,China,31
699,China,35
700,China,2
701,China,50
702,China,31
703,China,31
704,United States,7
705,Brazil,47
706,China,2
707,France,3
708,China,3
709,China,14
710,Brazil,1
711,Japan,46
712,China,18
713,Japan,45
714,Japan,50
715,China,12
716,Japan,6
717,United States,28
718,Japan,16
719,France,27
720,France,1
721,United States,46
722,China,44
723,China,32
724,Japan,48
725,China,44
726,China,41
727,United States,11
728,China,35
729,United States,30
730,China,36
731,China,21
732,Japan,49
733,China,45
734,China,26
735,China,28
736,China,18
737,Japan,9
738,China,31
739,China,4
740,China,14
741,China,2
742,China,22
743,China,15
744,China,11
745,Brazil,41
746,France,39
747,China,6
748,Japan,23
749,China,44
750,Brazil,11
751,Brazil,12
752,China,33
753,China,5
754,China,26
755,China,10
756,France,16
757,United States,15
758,China,19
759,China,2
760,China,40
761,United States,14
762,Brazil,28
763,China,9
764,Canada,14
765,China,10
766,France,43
767,Japan,22
768,China,5
769,Brazil,17
770,China,10
771,China,27
772,China,25
773,China,23
774,United States,37
775,China,3
776,China,29
777,China,24
778,Japan,40
779,Brazil,12
780,China,15
781,China,25
782,Brazil,40
783,China,50
784,China,4
785,China,12
786,Israel,24
787,Spain,18
788,China,35
789,China,50
790,China,29
791,China,24
792,China,4
793,China,35
794,China,12
795,China,49
796,China,36
797,United States,15
798,Canada,17
799,China,36
800,China,31
801,Japan,2
802,China,41
803,China,7
804,China,12
805,Brazil,23
806,France,10
807,China,48
808,China,38
809,China,50
810,China,1
811,Brazil,11
812,China,18
813,China,26
814,United States,11
815,United States,12
816,China,11
817,China,4
818,Brazil,29
819,Brazil,2
820,Japan,27
821,Germany,39
822,China,38
823,Japan,39
824,China,21
825,China,35
826,China,4
827,China,27
828,China,45
829,China,4
830,United States,20
831,China,16
832,China,9
833,China,24
834,France,49
835,China,36
836,China,14
837,Brazil,3
838,China,26
839,Japan,27
840,United States,19
841,China,11
842,China,30
843,China,28
844,China,8
845,China,16
846,China,32
847,France,20
848,France,37
849,China,21
850,Japan,19
851,Brazil,41
852,China,6
853,Brazil,42
854,China,9
855,Canada,12
856,China,48
857,Brazil,19
858,China,48
859,China,48
860,China,41
861,China,15
862,Brazil,5
863,France,2
864,United States,37
865,China,1
866,China,44
867,Brazil,14
868,China,29
869,Brazil,17
870,China,49
871,France,9
872,Brazil,48
873,China,12
874,France,14
875,France,22
876,China,8
877,Japan,42
878,China,2
879,France,3
880,China,12
881,China,3
882,Japan,35
883,China,6
884,China,29
885,China,44
886,Brazil,35
887,China,26
888,China,8
889,China,2
890,China,27
891,China,50
892,China,2
893,France,2
894,China,45
895,China,6
896,Brazil,8
897,China,40
898,United States,12
899,Brazil,11
900,Japan,10
901,China,31
902,France,42
903,Japan,2
904,Brazil,13
905,Canada,3
906,China,49
907,Germany,3
908,France,24
909,France,2
910,China,29
911,China,33
912,France,40
913,China,5
914,Japan,27
915,United States,10
916,China,49
917,China,10
918,Canada,7
919,United States,48
920,Canada,15
921,China,19
922,China,21
923,China,15
924,China,5
925,France,34
926,United States,7
927,China,26
928,Japan,20
929,China,30
930,France,23
931,Canada,27
932,China,25
933,China,31
934,United States,7
935,China,49
936,France,32
937,China,33
938,China,2
939,China,30
940,China,14
941,United States,24
942,Brazil,10
943,France,25
944,Brazil,22
945,China,20
946,United States,29
947,China,38
948,France,30
949,China,29
950,China,22
951,China,48
952,China,42
953,Japan,14
954,China,44
955,France,39
956,Brazil,3
957,China,35
958,United States,2
959,Canada,28
960,Israel,6
961,Brazil,4
962,China,15
963,United States,23
964,China,5
965,Canada,7
966,United States,22
967,Brazil,27
968,China,36
969,Canada,8
970,Canada,20
971,United States,11
972,China,4
973,China,32
974,United States,38
975,Italy,38
976,United States,45
977,Germany,44
978,France,27
979,Germany,2
980,Brazil,22
981,China,12
982,China,1
983,China,35
984,China,26
985,Japan,21
986,China,27
987,China,11
988,China,42
989,China,1
990,Brazil,24
991,China,26
992,France,25
993,China,48
994,China,38
995,Canada,45
996,China,38
997,China,40
998,Brazil,32
999,China,20
1000,Germany,20
